last_name, first_name,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,b_rbi,exit_velocity_avg,launch_angle_avg,
Candelario, Jeimer,2020,27,185,206,55,34,11,3,7,49,20,23.8,9.7,.297,29,90.2,13.3,
Bart, Joey,2020,24,103,111,24,17,5,2,0,41,3,36.9,2.7,.233,7,89,12.6,
Gonzalez, Erik,2020,29,181,193,41,24,13,1,3,51,8,26.4,4.1,.227,20,88.5,5.5,
Garver, Mitch,2020,29,72,81,12,9,1,0,2,37,7,45.7,8.6,.167,5,92.4,18.6,
Meadows, Austin,2020,25,132,152,27,14,8,1,4,50,17,32.9,11.2,.205,13,90.1,24.4,
Pillar, Kevin,2020,31,208,223,60,39,12,3,6,41,13,18.4,5.8,.288,26,87.1,13.4,
Miller, Brad,2020,31,142,171,33,17,8,1,7,46,25,26.9,14.6,.232,25,89.8,11.2,
Happ, Ian,2020,26,198,231,51,27,11,1,12,63,30,27.3,13.0,.258,28,91.1,9,
Albies, Ozzie,2020,23,118,124,32,21,5,0,6,30,5,24.2,4.0,.271,19,86.7,17.8,
Garcia, Luis,2020,20,134,139,37,29,6,0,2,29,5,20.9,3.6,.276,16,83.5,-3.6,
Profar, Jurickson,2020,27,180,202,50,37,6,0,7,28,15,13.9,7.4,.278,25,87.2,11,
Marmolejos, Jose,2020,27,107,115,22,12,4,0,6,32,7,27.8,6.1,.206,18,90.5,10.5,
Perez, Roberto,2020,32,97,110,16,13,2,0,1,38,11,34.5,10.0,.165,5,86,-2.5,
Machado, Manny,2020,28,224,254,68,39,12,1,16,37,26,14.6,10.2,.304,47,90.2,15.6,
Kipnis, Jason,2020,33,114,135,27,15,8,1,3,41,18,30.4,13.3,.237,16,86.2,18.2,
Altuve, Jose,2020,30,192,210,42,28,9,0,5,39,17,18.6,8.1,.219,18,86.7,9.3,
Smith, Dwight,2020,28,63,72,14,9,3,0,2,19,7,26.4,9.7,.222,6,89.9,8.1,
Kieboom, Carter,2020,23,99,122,20,19,1,0,0,33,17,27.0,13.9,.202,9,85.1,11.9,
Winker, Jesse,2020,27,149,183,38,19,7,0,12,46,28,25.1,15.3,.255,23,92.1,10.5,
Rios, Edwin,2020,26,76,83,19,5,6,0,8,18,4,21.7,4.8,.250,17,91.5,14.5,
Dietrich, Derek,2020,31,61,75,12,6,1,0,5,21,9,28.0,12.0,.197,8,85.4,12.6,
Turner, Justin,2020,36,150,175,46,32,9,1,4,26,18,14.9,10.3,.307,23,90.3,17.5,
Bryant, Kris,2020,28,131,147,27,17,5,1,4,40,12,27.2,8.2,.206,11,86.1,20.7,
Correa, Carlos,2020,26,201,221,53,39,9,0,5,49,16,22.2,7.2,.264,25,88.6,11.4,
Narvaez, Omar,2020,28,108,126,19,13,4,0,2,39,16,31.0,12.7,.176,10,81.6,18.7,
Hays, Austin,2020,25,122,134,34,28,2,0,4,25,8,18.7,6.0,.279,9,87,11,
McCann, James,2020,30,97,111,28,18,3,0,7,30,8,27.0,7.2,.289,15,90.5,15,
Osuna, Jose,2020,28,78,82,16,9,3,0,4,16,4,19.5,4.9,.205,11,89.1,14.7,
Bregman, Alex,2020,26,153,180,37,18,12,1,6,26,24,14.4,13.3,.242,22,88.9,17.3,
Bellinger, Cody,2020,25,213,243,51,29,10,0,12,42,30,17.3,12.3,.239,30,89.3,16.6,
Tellez, Rowdy,2020,25,113,127,32,19,5,0,8,20,11,15.7,8.7,.283,23,90.7,10.6,
Choi, Ji-Man,2020,29,122,145,28,12,13,0,3,36,20,24.8,13.8,.230,16,89,15.7,
Stassi, Max,2020,29,90,105,25,16,2,0,7,21,11,20.0,10.5,.278,20,91.6,15,
Goldschmidt, Paul,2020,33,191,231,58,39,13,0,6,43,37,18.6,16.0,.304,21,89.2,11.7,
Urias, Luis,2020,23,109,120,26,21,4,1,0,32,10,26.7,8.3,.239,11,87.7,2.3,
Trout, Mike,2020,29,199,241,56,28,9,2,17,56,35,23.2,14.5,.281,46,93.7,23.1,
Frazier, Clint,2020,26,131,160,35,20,6,1,8,44,25,27.5,15.6,.267,26,89.3,11.5,
Tucker, Kyle,2020,23,209,228,56,29,12,6,9,46,18,20.2,7.9,.268,42,91.1,14.9,
