last_name, first_name,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,b_rbi,exit_velocity_avg,launch_angle_avg,
Pujols, Albert,2019,39,491,545,120,75,22,0,23,68,43,12.5,7.9,.244,93,88.3,12.6,
Cabrera, Miguel,2019,36,493,549,139,106,21,0,12,108,48,19.7,8.7,.282,59,90.3,12.3,
Mathis, Jeff,2019,36,228,244,36,25,9,0,2,87,15,35.7,6.1,.158,12,86.1,16.8,
Choo, Shin-Soo,2019,37,563,660,149,92,31,2,24,165,78,25.0,11.8,.265,61,91.9,9.2,
Wainwright, Adam,2019,38,50,59,8,5,3,0,0,20,2,33.9,3.4,.160,2,87.9,14.6,
Greinke, Zack,2019,36,50,56,14,6,4,1,3,12,2,21.4,3.6,.280,8,88.9,5.9,
Molina, Yadier,2019,37,419,452,113,79,24,0,10,58,23,12.8,5.1,.270,57,87.4,13.9,
Cano, Robinson,2019,37,390,423,100,59,28,0,13,69,25,16.3,5.9,.256,39,90.9,7.4,
Encarnacion, Edwin,2019,36,418,486,102,50,18,0,34,103,58,21.2,11.9,.244,86,90.2,22.3,
Jones, Adam,2019,34,485,528,126,84,25,1,16,101,31,19.1,5.9,.260,67,86.1,13.4,
Martin, Russell,2019,36,209,249,46,35,5,0,6,60,30,24.1,12.0,.220,20,88.2,10.6,
Granderson, Curtis,2019,38,317,363,58,28,17,1,12,98,41,27.0,11.3,.183,34,88.8,19.3,
Ramirez, Hanley,2019,36,49,57,9,6,1,0,2,17,8,29.8,14.0,.184,8,88.9,6.3,
Sanchez, Anibal,2019,35,52,56,6,6,0,0,0,24,0,42.9,0.0,.115,1,78.6,-1.5,
Morales, Kendrys,2019,36,170,201,33,28,2,1,2,26,26,12.9,12.9,.194,12,91.3,9.5,
Kendrick, Howie,2019,36,334,370,115,74,23,1,17,49,27,13.2,7.3,.344,62,91.7,10.8,
Kinsler, Ian,2019,37,258,281,56,35,12,0,9,54,19,19.2,6.8,.217,22,84.3,17.3,
McCann, Brian,2019,35,277,316,69,48,9,0,12,53,31,16.8,9.8,.249,45,88.8,11.4,
Walker, Neil,2019,34,337,381,88,60,19,1,8,77,42,20.2,11.0,.261,38,86.2,11.5,
Suzuki, Kurt,2019,36,280,309,74,46,11,0,17,36,20,11.7,6.5,.264,63,86,18.9,
Desmond, Ian,2019,34,443,482,113,58,31,4,20,119,34,24.7,7.1,.255,65,90.9,8.7,
Cruz, Nelson,2019,39,454,521,141,74,26,0,41,131,56,25.1,10.7,.311,108,93.7,13.1,
Peralta, David,2019,32,382,423,105,61,29,3,12,87,35,20.6,8.3,.275,57,90.1,6.4,
Pina, Manny,2019,32,158,179,36,21,8,0,7,50,16,27.9,8.9,.228,25,88.6,16.2,
Jay, Jon,2019,34,165,182,44,36,8,0,0,30,8,16.5,4.4,.267,9,83.1,5.8,
Prado, Martin,2019,36,245,260,57,46,9,0,2,41,12,15.8,4.6,.233,15,87,8.3,
Duda, Lucas,2019,33,105,119,18,10,4,0,4,32,11,26.9,9.2,.171,15,91.5,22.5,
Wieters, Matt,2019,33,168,183,36,21,4,0,11,47,12,25.7,6.6,.214,27,88.8,13.8,
Longoria, Evan,2019,34,453,508,115,74,19,2,20,112,43,22.0,8.5,.254,69,89.7,14,
Cozart, Zack,2019,34,97,107,12,10,2,0,0,16,5,15.0,4.7,.124,7,85.9,21.6,
Rodriguez, Sean,2019,34,112,139,25,16,5,0,4,41,19,29.5,13.7,.223,12,88.3,13.5,
Reynolds, Mark,2019,36,135,162,23,12,7,0,4,57,22,35.2,13.6,.170,20,88.9,17.5,
Davis, Chris,2019,33,307,352,55,34,9,0,12,139,39,39.5,11.1,.179,36,89.1,14.1,
Zobrist, Ben,2019,38,150,176,39,33,5,0,1,24,23,13.6,13.1,.260,17,85.8,5.3,
Fowler, Dexter,2019,33,487,574,116,72,24,1,19,142,74,24.7,12.9,.238,67,85.5,12.9,
Flowers, Tyler,2019,33,271,310,62,37,11,3,11,105,31,33.9,10.0,.229,34,90.1,11.1,
Pence, Hunter,2019,36,286,316,85,49,17,1,18,69,26,21.8,8.2,.297,59,91.4,10.1,
Lester, Jon,2019,35,48,53,9,6,2,0,1,20,5,37.7,9.4,.188,6,86.3,4.9,
Cabrera, Asdrubal,2019,34,447,514,116,72,25,1,18,103,57,20.0,11.1,.260,91,89.1,14.4,
Scherzer, Max,2019,35,55,61,10,10,0,0,0,27,0,44.3,0.0,.182,2,87.2,-7.5,
Arrieta, Jake,2019,33,45,50,7,6,1,0,0,19,1,38.0,2.0,.156,4,87,20.7,
Blackmon, Charlie,2019,33,580,634,182,101,42,7,32,104,40,16.4,6.3,.314,86,88.7,14.5,
Frazier, Todd,2019,33,447,499,112,70,19,2,21,106,40,21.2,8.0,.251,67,88.2,17.3,
Iannetta, Chris,2019,36,144,164,32,16,10,0,6,54,18,32.9,11.0,.222,21,92.1,8.7,
Maldonado, Martin,2019,33,333,374,71,40,19,0,12,86,32,23.0,8.6,.213,27,88.1,12.6,
Chirinos, Robinson,2019,35,366,437,87,47,22,1,17,125,51,28.6,11.7,.238,58,87,16.9,
Markakis, Nick,2019,36,414,469,118,82,25,2,9,59,47,12.6,10.0,.285,62,91.2,7.3,
Castillo, Welington,2019,32,230,251,48,24,12,0,12,74,16,29.5,6.4,.209,41,89.5,13.2,
Kratz, Erik,2019,39,49,53,5,2,2,0,1,14,2,26.4,3.8,.102,3,85.7,21.2,
Nunez, Eduardo,2019,32,167,174,38,29,7,0,2,27,4,15.5,2.3,.228,20,88.1,5.9,
Pearce, Steve,2019,36,89,99,16,11,4,0,1,31,7,31.3,7.1,.180,9,88.5,12.8,
Cain, Lorenzo,2019,33,562,623,146,105,30,0,11,106,50,17.0,8.0,.260,48,89.4,6.6,
Solano, Donovan,2019,32,215,228,71,53,13,1,4,49,10,21.5,4.4,.330,23,87,14.5,
McCutchen, Andrew,2019,33,219,262,56,33,12,1,10,55,43,21.0,16.4,.256,29,90.6,12.7,
Upton, Justin,2019,32,219,256,47,27,8,0,12,78,32,30.5,12.5,.215,40,87.2,18.5,
Maybin, Cameron,2019,32,239,269,68,40,17,0,11,72,30,26.8,11.2,.285,32,89.4,11.8,
Turner, Justin,2019,35,479,549,139,88,24,0,27,88,51,16.0,9.3,.290,67,90.3,17.8,
Posey, Buster,2019,32,405,445,104,73,24,0,7,71,34,16.0,7.6,.257,38,88.6,9.1,
Bruce, Jay,2019,32,310,333,67,24,17,0,26,82,19,24.6,5.7,.216,59,90.2,21.4,
Votto, Joey,2019,36,525,608,137,89,32,1,15,123,76,20.2,12.5,.261,47,88.8,15.3,
Gardner, Brett,2019,36,491,550,123,62,26,7,28,108,52,19.6,9.5,.251,74,87.7,13.9,
Joyce, Matt,2019,35,200,238,59,42,10,0,7,45,38,18.9,16.0,.295,23,87.7,16.8,
Hundley, Nick,2019,36,70,73,14,8,3,1,2,18,2,24.7,2.7,.200,5,84.6,16.1,
Braun, Ryan,2019,36,459,508,131,76,31,2,22,105,34,20.7,6.7,.285,75,91.4,7.1,
Gordon, Alex,2019,35,556,633,148,103,31,1,13,100,51,15.8,8.1,.266,76,88.7,9.3,
Gomez, Carlos,2019,34,86,99,17,11,3,0,3,30,7,30.3,7.1,.198,10,88,18.5,
Kemp, Matt,2019,35,60,62,12,9,2,0,1,19,1,30.6,1.6,.200,5,87.3,13.6,
Andrus, Elvis,2019,31,600,648,165,122,27,4,12,96,34,14.8,5.2,.275,72,88.4,7.3,
Cervelli, Francisco,2019,33,141,160,30,18,8,1,3,41,13,25.6,8.1,.213,12,86.9,12,
Cabrera, Melky,2019,35,378,397,106,76,22,1,7,41,17,10.3,4.3,.280,47,88.2,9.1,
Sandoval, Pablo,2019,33,272,296,73,36,23,0,14,67,18,22.6,6.1,.268,41,89.8,10.7,
Ramos, Wilson,2019,32,473,524,136,103,19,0,14,69,44,13.2,8.4,.288,73,90,-0.1,
Santana, Carlos,2019,33,573,686,161,96,30,1,34,108,108,15.7,15.7,.281,93,91.8,11.8,
Parra, Gerardo,2019,32,274,301,64,40,14,1,9,59,19,19.6,6.3,.234,48,86.2,10,
Gonzalez, Carlos,2019,34,145,166,29,23,3,0,3,52,18,31.3,10.8,.200,10,87.6,1.4,
